Date,INFO 1st,INFO 2nd,ICICI 1st,ICICI 2nd,Tata 1st,Tata 2nd
6/24/2015,995.15,1001.2,316.85,318.8,429.6,430.7
6/23/2015,1001.9,1008.05,313.35,315.2,436.65,437.9
6/22/2015,1025.15,1031.05,314.7,316.65,440.05,441.2
6/19/2015,997.45,1003.45,304.95,307.15,433.55,435.65
6/18/2015,999.75,1006.45,303.5,305.35,444.65,445.85
6/17/2015,997,1002.9,301.2,303.2,433.35,435.45
6/16/2015,998.4,1004.45,302.05,304.15,433.4,434.35
6/15/2015,990.85,997.1,299.15,300.95,427.3,429.6
6/12/2015,972.92,978.3,296.3,298.35,423.5,426
6/11/2015,984.3,989.47,289.1,291.35,430.2,433
6/10/2015,997.67,1003.7,293.05,295.3,446.8,449.5
6/9/2015,984.05,990.6,288,290.15,441,443.2
6/8/2015,988.22,994.97,284.25,286.45,437.4,439.7
6/5/2015,993.38,999.38,285.4,287.6,444.2,446.7
6/4/2015,1004.47,1009.85,291.75,294.3,453.5,456.75
6/3/2015,1000.17,1006.67,292.7,295.05,456.9,459.9
6/2/2015,993,998.85,300.9,303.35,467,470.05
6/1/2015,1011.13,1017.92,313.4,315.75,474.7,477.9
5/29/2015,1003.9,1013.3,314.7,317.1,484.5,487.4
5/28/2015,1008.3,993.9,314.5,311.75,484.35,483.75
5/27/2015,985.08,976.05,313.6,310.55,471.5,474.15
5/26/2015,1003.55,995.08,310.25,307.2,497.6,499.85
5/25/2015,1010.05,1001.8,312.65,309.7,505.95,509.1
5/22/2015,1022.13,1014.35,313.55,310.95,513.8,516.65
5/21/2015,1022.17,1014.05,314.45,311.4,511.85,514.5
5/20/2015,1022.6,1014.67,319.4,316.65,506.8,510
5/19/2015,1009.53,1001.63,315.7,313.1,511.5,514.6
5/18/2015,995.35,986.67,317.15,314.3,521.4,524.35
5/15/2015,980.97,972.45,313.45,310.7,519.75,522.9
5/14/2015,968.65,961,316.55,313.7,517.15,520.35
5/13/2015,981.28,973.75,319.15,316.6,521.05,524.1
5/12/2015,974.45,966.97,309.45,306.95,513.95,517
5/11/2015,998.83,991.17,324.2,321.55,530,533.6
5/8/2015,981.88,974.35,317.85,315.1,514.6,517.25
5/7/2015,976.22,969,306.35,303.75,491,494.9
5/6/2015,965.47,957.85,313.95,311.4,500.05,502.9
5/5/2015,988.35,981.58,330.1,327.7,513.65,517.05
5/4/2015,1001.33,995.13,331.25,328.75,510.5,513.95
4/30/2015,971.13,979.38,331.15,333.95,508.25,512.2
4/29/2015,981.1,987.85,330.2,332.1,521.15,524.15
4/28/2015,982.25,989.1,326.55,328.5,530.8,532.95
4/27/2015,995.9,1002.08,302.3,304.45,518,520.8
4/24/2015,1000.65,1006.88,309.25,311.25,516.45,519.45
4/23/2015,1062.8,1067.35,312.1,314.15,512.7,515.65
4/22/2015,1073.55,1077.72,314.45,316.3,525.4,528.7
4/21/2015,1077.13,1080.78,312.2,314.3,528.2,532
4/20/2015,1070.82,1075.22,311.95,313.95,535.2,538.8
4/17/2015,1094.9,1098.35,311.35,313.3,538,541.2
4/16/2015,1101.45,1105.8,314,315.9,541.8,545.15
4/15/2015,1112.68,1116.95,316.55,318.5,543.2,546.35
4/13/2015,1123.97,1130,318.8,320.8,558.2,561.45
4/10/2015,1121.5,1126.6,320.2,322.15,565.05,568.15
4/9/2015,1111.45,1117.2,322.6,324.5,563.35,566.15
4/8/2015,1107.2,1112.7,317.25,319.2,565,567.85
4/7/2015,1086.9,1092.38,319.35,321.65,563.9,565.95
4/6/2015,1093.93,1100.07,322.15,324.25,568.25,570.4
4/1/2015,1094.97,1099.7,324.25,326.45,560.83,564.05
3/31/2015,1117.47,1119.88,316.5,318.25,545.6,548.76
3/30/2015,1126.47,1130.2,321.05,323,536.74,539.46
3/27/2015,1114.72,1116.85,318.4,320.15,532.98,534.96
3/26/2015,1073.18,1086.5,307.95,311.05,518.69,525.17
3/25/2015,1111.53,1119.63,317,319.7,536.05,538.52
3/24/2015,1110.32,1118.55,313.3,315.95,529.17,532.24
3/23/2015,1116.78,1124.35,314.9,317.35,545.7,549.16
3/20/2015,1132.78,1140.72,320.05,322.9,543.77,548.17
3/19/2015,1118.93,1126.93,330.3,333.25,548.57,552.97
3/18/2015,1115.75,1123.57,336.35,339.4,556.33,561.08
3/17/2015,1123.68,1131.5,335.8,338.5,568.95,572.91
3/16/2015,1134.7,1141.8,333.6,336.5,554.5,559.2
3/13/2015,1111.43,1118.07,331.7,334.75,553.07,557.03
3/12/2015,1111.32,1119.22,339.6,342.4,559.2,563.51
3/11/2015,1097.57,1104.38,335.5,338.2,548.81,552.92
3/10/2015,1104.5,1111.88,335.9,338.85,557.92,561.92
3/9/2015,1096.93,1105,334.7,337.2,560.09,563.95
3/5/2015,1129.65,1137.72,350.2,352.75,568.5,572.61
3/4/2015,1141.82,1150.3,350.3,352.35,569.29,573.55
3/3/2015,1155.18,1162.68,350.1,352.6,572.56,576.32
3/2/2015,1152.32,1159.2,350.9,353.55,582.35,586.06
2/28/2015,1157.4,1166.03,348.35,349.4,592.54,597.05
2/27/2015,1139.57,1146.65,337.2,339.7,573.35,577.21
2/26/2015,1129.05,1133.4,321.3,323.8,554.7,557.87
2/25/2015,1156.45,1163.03,322.9,324.9,561.87,564.64
2/24/2015,1138.65,1146.28,326.3,328.4,559.35,563.41
2/23/2015,1131.25,1139.53,329.1,331.45,568.11,572.01
